Size: 788, Time: 0.0790000000 seconds
Size: 802, Time: 0.0810000000 seconds
Size: 824, Time: 0.0820000000 seconds
Size: 841, Time: 0.0770000000 seconds
Size: 864, Time: 0.0830000000 seconds
Size: 909, Time: 0.0950000000 seconds
Size: 922, Time: 0.0920000000 seconds
Size: 948, Time: 0.0960000000 seconds
Size: 958, Time: 0.0940000000 seconds
Size: 975, Time: 0.0930000000 seconds
Size: 988, Time: 0.0970000000 seconds
Size: 102, Time: 0.0100000000 seconds
Size: 138, Time: 0.0160000000 seconds
Size: 174, Time: 0.0170000000 seconds
Size: 229, Time: 0.0230000000 seconds
Size: 275, Time: 0.0290000000 seconds
Size: 291, Time: 0.0280000000 seconds
Size: 314, Time: 0.0330000000 seconds
Size: 357, Time: 0.0360000000 seconds
Size: 409, Time: 0.0400000000 seconds
Size: 487, Time: 0.0500000000 seconds
Size: 667, Time: 0.0690000000 seconds
Size: 683, Time: 0.0690000000 seconds
Size: 820, Time: 0.0840000000 seconds
Size: 853, Time: 0.0810000000 seconds
Size: 922, Time: 0.0970000000 seconds
Size: 3, Time: 0.0050000000 seconds
Size: 16, Time: 0.0070000000 seconds
Size: 20, Time: 0.0030000000 seconds
Size: 26, Time: 0.0020000000 seconds
Size: 42, Time: 0.0040000000 seconds
Size: 49, Time: 0.0060000000 seconds
Size: 78, Time: 0.0080000000 seconds
Size: 91, Time: 0.0080000000 seconds
Size: 98, Time: 0.0100000000 seconds
Size: 111, Time: 0.0120000000 seconds
Size: 150, Time: 0.0140000000 seconds
Size: 186, Time: 0.0190000000 seconds
Size: 284, Time: 0.0380000000 seconds
Size: 304, Time: 0.0300000000 seconds
Size: 349, Time: 0.0340000000 seconds
Size: 382, Time: 0.0390000000 seconds
Size: 402, Time: 0.0410000000 seconds
Size: 421, Time: 0.0440000000 seconds
Size: 457, Time: 0.0450000000 seconds
Size: 500, Time: 0.0460000000 seconds
Size: 509, Time: 0.0540000000 seconds
Size: 552, Time: 0.0540000000 seconds
Size: 627, Time: 0.0610000000 seconds
Size: 705, Time: 0.0670000000 seconds
Size: 314, Time: 0.0300000000 seconds
Size: 330, Time: 0.0350000000 seconds
