Number of elements: 0, Iterations: 0
Number of elements: 10, Iterations: 9
Number of elements: 20, Iterations: 19
Number of elements: 30, Iterations: 29
Number of elements: 40, Iterations: 39
Number of elements: 50, Iterations: 49
Number of elements: 60, Iterations: 59
Number of elements: 70, Iterations: 69
Number of elements: 80, Iterations: 79
Number of elements: 90, Iterations: 89
Number of elements: 100, Iterations: 99
Number of elements: 110, Iterations: 109
Number of elements: 120, Iterations: 119
Number of elements: 130, Iterations: 129
Number of elements: 140, Iterations: 139
Number of elements: 150, Iterations: 149
