Size: 10, Iterations: 4
Size: 20, Iterations: 5
Size: 30, Iterations: 5
Size: 40, Iterations: 6
Size: 50, Iterations: 6
Size: 60, Iterations: 6
Size: 70, Iterations: 7
Size: 80, Iterations: 7
Size: 90, Iterations: 7
Size: 100, Iterations: 7
Size: 1, Iterations: 1
Size: 2, Iterations: 2
Size: 2, Iterations: 2
Size: 5, Iterations: 3
Size: 7, Iterations: 3
Size: 9, Iterations: 4
Size: 300, Iterations: 9
Size: 500, Iterations: 9
Size: 800, Iterations: 10
Size: 1000, Iterations: 10
Size: 2000, Iterations: 10
Size: 1200, Iterations: 11
Size: 1500, Iterations: 11
Size: 1750, Iterations: 11
Size: 2000, Iterations: 11
