Vertices: 2, Time taken: 0.004 milliseconds
Vertices: 3, Time taken: 0.003 milliseconds
Vertices: 4, Time taken: 0.005 milliseconds
Vertices: 5, Time taken: 0.006 milliseconds
Vertices: 6, Time taken: 0.007 milliseconds
Vertices: 7, Time taken: 0.008 milliseconds
Vertices: 8, Time taken: 0.009 milliseconds
Vertices: 9, Time taken: 0.011 milliseconds
Vertices: 10, Time taken: 0.012 milliseconds
Vertices: 11, Time taken: 0.012 milliseconds
Vertices: 12, Time taken: 0.013 milliseconds
Vertices: 13, Time taken: 0.014 milliseconds
Vertices: 14, Time taken: 0.015 milliseconds
Vertices: 15, Time taken: 0.017 milliseconds
Vertices: 16, Time taken: 0.018 milliseconds
Vertices: 17, Time taken: 0.019 milliseconds
Vertices: 20, Time taken: 0.027 milliseconds
Vertices: 22, Time taken: 0.041 milliseconds
Vertices: 25, Time taken: 0.048 milliseconds
